location,sex,age_group_start,age_group_end,treated_among_hypertensive_mean,treated_among_hypertensive_lb,treated_among_hypertensive_ub,treated_among_hypertensive_uncertainty_level,control_among_treated_mean,control_among_treated_lb,control_among_treated_ub,control_among_treated_uncertainty_level,hypertension_threshold
China ,Male,18,125,18.50,16.80,20.20,95.00,36.70,33.00,40.60,95,140
China ,Female ,18,125,22.00,20.20,24.00,95.00,34.50,30.80,38.40,95,140
China ,Both ,18,30,9.00,5.80,13.70,95.00,42.90,24.90,63.00,95,140
China ,Both ,30,40,8.90,7.10,11.10,95.00,34.30,26.70,42.80,95,140
China ,Both ,40,50,15.10,13.50,17.00,95.00,38.40,32.50,44.70,95,140
China ,Both ,40,60,24.30,22.50,26.10,95.00,36.10,33.00,39.20,95,140
China ,Both ,60,70,30.50,28.70,32.30,95.00,35.00,32.00,38.00,95,140
China ,Both ,70,125,33.90,31.60,36.30,95.00,31.80,28.80,34.90,95,140
Russian Federation,Both,25,40,18.57,,,,38.46,,,,140
Russian Federation,Both,40,50,24.16,,,,20.93,,,,140
Russian Federation,Both,50,60,38.6,,,,13.42,,,,140
Malaysia,Male,18,125,27.5,25.9,29.3,95,39.30,36.20,42.40,95,140
Malaysia,Female,18,125,35.1,33.4,36.8,95,35.70,33.00,38.60,95,140
Malaysia,Both,18,40,8.4,7,35.1,95,39.40,31.40,48.00,95,140
Malaysia,Both,40,60,33.3,31.5,55.4,95,36.70,33.70,39.90,95,140
Malaysia,Both,60,125,53.1,50.9,32.5,95,37.70,34.90,40.60,95,140
Nigeria,Both,18,125,15.2,,,,35.10,,,,140
India,Both,15,20,10.75,9.11,12.64,95,96.00,95.50,96.60,95,140
India,Both,20,25,8.97,7.96,10.09,95,88.63,87.94,89.40,95,140
India,Both,25,30,9.14,8.32,10.02,95,80.85,80.29,81.54,95,140
India,Both,30,35,10.15,9.36,11.00,95,68.67,67.95,69.36,95,140
India,Both,35,40,11.35,10.53,12.22,95,56.65,55.84,57.45,95,140
India,Both,40,45,16.29,15.11,17.54,95,49.85,47.65,52.11,95,140
India,Both,45,50,19.28,18.25,20.35,95,48.65,47.29,50.07,95,140
India,Both,50,125,31.9,9.5,43.3,95,40.44,33.68,40.65,95,140
India,Male ,15,50,9.8,,,,54.08,,,,140
India,Female ,15,50,17.4,,,,62.64,,,,140
India,Both,15,50,13.3,,,,59.40,,,,140
Bangladesh,,,,,,,,,,,,
South Africa,,,,,,,,,,,,
