location,therapy_category,drug_class,calcium_channel_blockers,thiazide_type_diuretics,ace_inhibitors,angiotensin_ii_blockers,beta_blockers,other,percentage_among_therapy_category_mean,percentage_among_therapy_category_lb,percentage_among_therapy_category_ub,percentage_among_therapy_category_uncertainty_level
China,mono,CCB full dose,2,0,0,0,0,0,49.80,49.20,50.50,95.00
China,mono,Diuretics full dose,0,2,0,0,0,0,4.20,4.00,4.50,95.00
China,mono,ARB ,0,0,0,1,0,0,23.50,22.90,24.00,95.00
China,mono,ACEI,0,0,1,0,0,0,7.90,7.50,8.20,95.00
China,mono,Beta blocker,0,0,0,0,1,0,9.30,8.90,9.70,95.00
China,mono,CAD ,0,0,0,0,0,1,0.40,0.30,0.50,95.00
China,mono,Other non-first line drugs ,0,0,0,0,0,1,4.90,4.60,5.20,95.00
China,dual,ACEI + CCB,2,0,1,0,0,0,18.30,17.00,19.70,95.00
China,dual,ARB + CCB,2,0,0,1,0,0,17.00,15.80,18.30,95.00
China,dual,ACEI + Diuetics,0,2,1,0,0,0,2.20,1.70,2.80,95.00
China,dual,ARB + Diuretics ,0,2,0,1,0,0,2.10,1.70,2.70,95.00
China,dual,CCB + Diuretics ,2,2,0,0,0,0,3.50,2.90,4.10,95.00
China,dual,CCB + Beta blocker ,2,0,0,0,1,0,9.30,8.40,10.40,95.00
China,dual,Fixed-dose combination ,0,0,0,0,0,1,38.90,37.20,40.50,95.00
China,dual,ACEI + ARB ,0,0,1,1,0,0,0.40,0.20,0.70,95.00
China,dual,Other non-first line drug combo,0,0,0,0,0,1,8.30,,,
China,triple,ACEI/ARB + CCB + Diuretics ,2,2,parameter,parameter,0,0,12.70,8.60,18.00,95.00
China,triple,ACEI/ARB + CCB + Diuretics + Beta blocker,2,2,parameter,parameter,1,0,2.80,1.00,6.10,95.00
China,triple,Other non-first line drug combo ,0,0,0,0,0,1,84.50,,,
Russian Federation,mono,CCB,2,0,0,0,0,0,11.086,,,
Russian Federation,mono,Diuretics ,0,2,0,0,0,0,21.036,,,
Russian Federation,mono,ARB ,0,0,0,1,0,0,6.010,,,
Russian Federation,mono,ACEI,0,0,1,0,0,0,30.316,,,
Russian Federation,mono,Beta blocker,0,0,0,0,1,0,31.553,,,
Russian Federation,dual,ACEI + BB,0,0,1,0,1,0,25.563,,,
Russian Federation,dual,DU + BB,0,2,0,0,1,0,17.737,,,
Russian Federation,dual,DU + ACEI,0,2,1,0,0,0,17.042,,,
Russian Federation,dual,CCB + BB,2,0,0,0,1,0,9.348,,,
Russian Federation,dual,CCB + ACEI,2,0,1,0,0,0,8.982,,,
Russian Federation,dual,CCB + DU,2,2,0,0,0,0,6.232,,,
Russian Federation,dual,ARB + BB,0,0,0,1,1,0,5.068,,,
Russian Federation,dual,ACEI + ARB,0,0,1,1,0,0,4.869,,,
Russian Federation,dual,DU + ACEI + BB,0,2,1,0,1,0,31.318,,,
Russian Federation,dual,CCB + ACEI + BB,2,0,1,0,1,0,16.505,,,
Russian Federation,triple,CCB + DU + BB,2,2,0,0,1,0,11.453,,,
Russian Federation,triple,CCB + DU + ACEI,2,2,1,0,0,0,11.004,,,
Russian Federation,triple,ACEI + ARB + BB,0,0,1,1,1,0,8.948,,,
Russian Federation,triple,DU + ARB + BB,0,2,0,1,1,0,6.209,,,
Russian Federation,triple,DU + ACEI + ARB,0,2,1,1,0,0,5.965,,,
Russian Federation,triple,CCB + ARB + BB,2,0,0,1,1,0,3.272,,,
Russian Federation,triple,CCB + ACEI + ARB,2,0,1,1,0,0,3.144,,,
Russian Federation,triple,CCB + DU + ARB,2,2,0,1,0,0,2.181,,,
Russian Federation,triple,CCB + DU + ACEI + BB,2,2,1,0,1,0,45.114,,,
Russian Federation,triple,DU + ACEI + ARB + BB,0,2,1,1,1,0,24.457,,,
